Basis of record	Data origin	Institution	Catalogue number	Scientific name	Latitude	Longitude	Country	Department/State/Province	Municipality	Site	Observation	References
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	1.35	-78.13333333	Colombia	Nariño		Junín la guarapería		Ramírez-Chaves et al. (2010)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	9.483333333	-75.35	Colombia	Sucre	Colosó	Estación Primates		Galván-Guevara and Sierra (2009)
PRESERVED_SPECIMEN	Literature	American Museum of Natural History	AMNH 14189	"Caluromys derbianus (Waterhouse, 1841)"	3.42	-76.52	Colombia	Valle del Cauca	Cali	"Rio Cauquetá, South of Cali  "		Fonseca and Astúa (2015)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	2.688611111	-77.00305556	Colombia	Cauca	Tambo	PNN Munchique		Correa (2009)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	2.071809	-77.0410347	Colombia	Cauca	Patía	Parador Patía		"Alberico, M. and Negret (1992)"
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	2.433333333	-76.63333333	Colombia	Cauca	Popayan	Vereda las torres		Ramírez-Chaves et al. (2008)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	8.096666667	-76.73972222	Colombia	Antioquia	Turbo	Bocas de Atrato		Ríos et al. (2011)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	3.448055556	-76.53916667	Colombia	Valle del Cauca	Cali	Vereda San Antonio	Electrocutaded	Saavedra-Rodríguez et al. (2013)
OCCURRENCE	Literature			"Caluromys derbianus (Waterhouse, 1841)"	5.066666667	-75.43333333	Colombia	Caldas	Manizales	Reserva rio blanco		Sánchez et a. (2008)
HUMAN_OBSERVATION	Citizen science			"Caluromys derbianus (Waterhouse, 1841)"	9.15608	-76.13296	Colombia	Córdoba	Moñitos	Reserva Viento Solar- Rio cedro		Wilfrido López Carreño
HUMAN_OBSERVATION	Field work			"Caluromys derbianus (Waterhouse, 1841)"	9.1348	-76.1839	Colombia	Córdoba	Moñitos	Reserva Viento Solar- Rio cedro	"banana crops, one mother and three young"	This study
HUMAN_OBSERVATION	Biological collection	Colección Zoológica de la Universidad de Córdoba	CZUC-M 0126	"Caluromys derbianus (Waterhouse, 1841)"	9.068888889	-75.92722222	Colombia	Córdoba	Lorica	Finca Providencia	Dry forest	This study
HUMAN_OBSERVATION	Field work			"Caluromys derbianus (Waterhouse, 1841)"	8.7980609	-76.0926887	Colombia	Córdoba	Montería		crops	This study
HUMAN_OBSERVATION	Citizen science			"Caluromys derbianus (Waterhouse, 1841)"	8.226783	-75.879141	Colombia	Córdoba	Tierralta	"Vereda Carrizola, cerca Santa Fe de Ralito"	"banana crops, one mother and three young"	Carlos Sanchez
HUMAN_OBSERVATION	Field work			"Caluromys derbianus (Waterhouse, 1841)"	7.666972	-76.077333	Colombia	Córdoba	Tierralta	"Quebrada Varasantal, PNN Paramillo sector Rio Manso"		This study
HUMAN_OBSERVATION	Citizen science			"Caluromys derbianus (Waterhouse, 1841)"	5.2372	-75.8111	Colombia	Caldas	Anserma	"cerca de la Cuchilla de San Juan, cordillera Occidental"		Juan Camilo Cepeda Duque
HUMAN_OBSERVATION	Citizen science			"Caluromys derbianus (Waterhouse, 1841)"	9.126212	-75.46932	Colombia	Córdoba	San Andres de Sotavento	near to Chinú	Roadkill	Gerson Salcedo
HUMAN_OBSERVATION	Citizen science			"Caluromys derbianus (Waterhouse, 1841)"	8.898833	-75.962417	Colombia	Córdoba	Cerete	Cazuela		Jorge Peña
PHOTOGRAPHY	Literature			"Caluromys derbianus (Waterhouse, 1841)"	5.05	-75.733333	Colombia	Caldas	Chinchiná	Bosques de La Esmeralda		Terán-Sánchez et al. (2021)
